analysis_id,game_id,cluster_id,cluster_probability,source_path,coordinate_action_rate,frame_changed_rate,changed_cells_mean,small_change_rate_1_8,large_change_rate_33_plus,progress_rate,game_over_rate,win_rate,unique_after_hash_rate,initial_component_count
ar25-0c556536_seed24,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed24.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed25,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed25.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed26,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed26.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed27,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed27.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed28,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed28.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed29,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed29.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed3,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed3.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed30,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed30.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed31,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed31.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed32,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed32.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed33,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed33.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed34,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed34.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed35,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed35.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed36,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed36.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed37,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed37.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed38,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed38.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed39,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed39.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed4,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed4.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed40,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed40.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed41,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed41.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed42,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed42.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed43,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed43.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed44,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed44.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed45,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed45.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed46,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed46.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed47,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed47.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed48,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed48.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed49,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed49.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed5,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed5.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed50,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed50.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed51,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed51.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed52,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed52.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed53,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed53.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed54,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed54.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed55,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed55.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed56,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed56.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed57,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed57.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed58,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed58.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed59,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed59.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed6,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed6.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed60,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed60.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed61,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed61.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed62,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed62.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed63,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed63.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed64,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed64.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed65,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed65.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed66,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed66.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed67,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed67.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed68,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed68.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed69,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed69.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed7,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed7.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed70,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed70.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed71,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed71.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed72,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed72.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed73,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed73.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed74,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed74.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed75,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed75.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed76,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed76.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed77,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed77.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed78,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed78.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed79,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed79.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed8,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed8.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed80,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed80.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed81,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed81.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed82,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed82.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
ar25-0c556536_seed9,ar25-0c556536,3,1.0,training_examples/ar25-0c556536_seed9.examples.jsonl,0.14,0.775,69.215,0.14,0.635,0.0,0.005,0.0,0.605,11.0
bp35-0a0ad940_seed0,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed0.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed1,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed1.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed10,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed10.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed11,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed11.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed12,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed12.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed13,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed13.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed14,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed14.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed15,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed15.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed16,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed16.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed17,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed17.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed18,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed18.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed19,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed19.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed2,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed2.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed20,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed20.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed21,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed21.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed22,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed22.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed23,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed23.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed24,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed24.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed25,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed25.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed26,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed26.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed27,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed27.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed28,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed28.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed29,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed29.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed3,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed3.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed30,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed30.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed31,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed31.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed32,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed32.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed33,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed33.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed34,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed34.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed35,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed35.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed36,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed36.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed37,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed37.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed38,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed38.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed39,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed39.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed4,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed4.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed40,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed40.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed41,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed41.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed42,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed42.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed43,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed43.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed44,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed44.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed45,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed45.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed46,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed46.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed47,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed47.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed48,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed48.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed49,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed49.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed5,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed5.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed50,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed50.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed51,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed51.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed52,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed52.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed53,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed53.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed54,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed54.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed55,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed55.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed56,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed56.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed57,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed57.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed58,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed58.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed59,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed59.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed6,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed6.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed60,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed60.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
bp35-0a0ad940_seed61,bp35-0a0ad940,1,1.0,training_examples/bp35-0a0ad940_seed61.examples.jsonl,0.25,1.0,140.79,0.165,0.59,0.0,0.03,0.0,0.39,190.0
